CART_NUMBER,CSTM_NUMBER,PRODUCT_ID,CART_DATE,QUANTITY,KARAT_CODE
CRT-00115,CSTM-00675,PROD-N00004,2025-07-02 06:20:15,1,24K
CRT-00116,CSTM-00101,PROD-S00005,2025-07-07 22:20:15,1,14K
CRT-00117,CSTM-00084,PROD-N00009,2025-07-25 09:20:15,1,18K
CRT-00118,CSTM-00250,PROD-N00009,2025-07-23 18:20:15,3,24K
CRT-00119,CSTM-01420,PROD-E00006,2025-06-30 18:20:15,1,14K
CRT-00120,CSTM-00403,PROD-N00006,2025-06-30 21:20:15,2,18K
CRT-00121,CSTM-00978,PROD-N00005,2025-07-13 05:20:15,2,14K
CRT-00122,CSTM-00345,PROD-S00002,2025-07-04 05:20:15,3,24K
CRT-00123,CSTM-01073,PROD-N00005,2025-07-24 03:20:15,1,18K
CRT-00124,CSTM-01543,PROD-N00009,2025-07-21 04:20:15,1,14K
CRT-00125,CSTM-00689,PROD-E00008,2025-07-23 18:20:15,2,14K
CRT-00126,CSTM-00102,PROD-S00004,2025-06-29 05:20:15,3,24K
CRT-00127,CSTM-00485,PROD-S00005,2025-07-28 14:16:15,3,18K
CRT-00128,CSTM-00467,PROD-R00010,2025-07-02 08:20:15,3,18K
CRT-00129,CSTM-01222,PROD-S00008,2025-07-02 02:20:15,3,18K
CRT-00130,CSTM-00231,PROD-R00004,2025-07-21 07:20:15,2,18K
CRT-00131,CSTM-01146,PROD-G00004,2025-07-09 12:20:15,3,14K
CRT-00132,CSTM-01282,PROD-S00001,2025-06-30 02:20:15,2,24K
CRT-00133,CSTM-01875,PROD-N00006,2025-07-24 03:20:15,1,24K
CRT-00134,CSTM-01463,PROD-E00007,2025-07-28 14:02:15,1,18K
CRT-00135,CSTM-00155,PROD-E00003,2025-07-22 07:20:15,2,18K
CRT-00136,CSTM-00341,PROD-G00004,2025-07-28 13:36:15,2,14K
CRT-00137,CSTM-01307,PROD-R00010,2025-07-03 19:20:15,1,14K
CRT-00138,CSTM-00913,PROD-S00001,2025-07-11 07:20:15,3,18K
CRT-00139,CSTM-00579,PROD-E00008,2025-07-08 17:20:15,3,24K
CRT-00140,CSTM-00101,PROD-G00004,2025-07-06 04:20:15,1,18K
CRT-00141,CSTM-00930,PROD-N00011,2025-07-25 09:20:15,1,24K
CRT-00142,CSTM-01151,PROD-G00002,2025-07-03 05:20:15,1,14K
CRT-00143,CSTM-00008,PROD-R00010,2025-07-12 15:20:15,3,14K
CRT-00144,CSTM-00296,PROD-E00012,2025-07-19 18:20:15,1,24K
CRT-00145,CSTM-01512,PROD-G00003,2025-07-11 22:20:15,1,18K
CRT-00146,CSTM-00983,PROD-E00003,2025-07-26 07:20:15,1,14K
CRT-00147,CSTM-01284,PROD-E00003,2025-07-28 13:29:15,2,18K
CRT-00148,CSTM-00716,PROD-S00005,2025-07-21 18:20:15,3,14K
CRT-00149,CSTM-01613,PROD-E00001,2025-07-28 13:34:15,3,18K
CRT-00150,CSTM-01450,PROD-N00008,2025-07-28 14:15:15,3,24K
CRT-00151,CSTM-00553,PROD-N00002,2025-07-28 13:47:15,1,24K
CRT-00152,CSTM-00034,PROD-N00008,2025-07-05 18:20:15,2,24K
CRT-00153,CSTM-00895,PROD-E00010,2025-07-10 15:20:15,3,14K
CRT-00154,CSTM-01557,PROD-E00010,2025-07-28 14:14:15,3,14K
CRT-00155,CSTM-01563,PROD-E00005,2025-07-13 17:20:15,3,18K
CRT-00156,CSTM-01037,PROD-N00002,2025-07-25 13:20:15,1,24K
CRT-00157,CSTM-00562,PROD-E00008,2025-07-05 04:20:15,3,18K
CRT-00158,CSTM-01617,PROD-E00012,2025-07-11 10:20:15,2,14K
CRT-00159,CSTM-01375,PROD-E00006,2025-07-26 06:20:15,2,14K
CRT-00160,CSTM-00328,PROD-R00004,2025-06-29 04:20:15,1,14K
CRT-00161,CSTM-00818,PROD-S00008,2025-07-07 02:20:15,1,14K
CRT-00162,CSTM-01143,PROD-G00003,2025-07-14 19:20:15,2,14K
CRT-00163,CSTM-00032,PROD-G00004,2025-07-27 09:20:15,1,14K
CRT-00164,CSTM-00994,PROD-E00002,2025-07-28 13:59:15,2,24K
CRT-00165,CSTM-00057,PROD-S00002,2025-07-26 07:20:15,2,24K
CRT-00166,CSTM-01098,PROD-R00001,2025-07-02 03:20:15,3,24K
CRT-00167,CSTM-00636,PROD-R00005,2025-07-28 14:10:15,1,18K
CRT-00168,CSTM-00784,PROD-E00003,2025-07-12 14:20:15,3,18K
CRT-00169,CSTM-00479,PROD-N00008,2025-07-23 15:20:15,1,24K
CRT-00170,CSTM-01402,PROD-E00006,2025-07-28 14:04:15,3,24K
CRT-00171,CSTM-00024,PROD-E00007,2025-07-11 00:20:15,2,14K
CRT-00172,CSTM-00702,PROD-N00006,2025-07-01 09:20:15,3,14K
CRT-00173,CSTM-01489,PROD-R00008,2025-07-09 23:20:15,3,18K
CRT-00174,CSTM-01273,PROD-E00009,2025-07-19 09:20:15,3,14K
CRT-00175,CSTM-01389,PROD-R00006,2025-07-11 02:20:15,1,24K
CRT-00176,CSTM-00831,PROD-N00006,2025-07-23 04:20:15,1,18K
CRT-00177,CSTM-00349,PROD-S00005,2025-07-24 07:20:15,3,18K
CRT-00178,CSTM-01581,PROD-R00010,2025-07-01 06:20:15,1,14K
CRT-00179,CSTM-00974,PROD-R00010,2025-07-19 01:20:15,1,18K
CRT-00180,CSTM-00259,PROD-N00010,2025-07-25 17:20:15,3,14K
CRT-00181,CSTM-00594,PROD-S00002,2025-07-14 23:20:15,3,18K
CRT-00182,CSTM-01559,PROD-S00006,2025-07-03 06:20:15,1,24K
CRT-00183,CSTM-00305,PROD-R00003,2025-07-26 19:20:15,2,18K
CRT-00184,CSTM-00807,PROD-S00006,2025-07-28 13:27:15,1,18K
CRT-00185,CSTM-00014,PROD-R00007,2025-06-29 17:20:15,2,14K
CRT-00186,CSTM-01289,PROD-S00008,2025-07-26 18:20:15,2,14K
CRT-00187,CSTM-00785,PROD-E00012,2025-07-06 02:20:15,2,18K
CRT-00188,CSTM-01420,PROD-R00005,2025-07-18 06:20:15,3,18K
CRT-00189,CSTM-01570,PROD-N00006,2025-07-15 12:20:15,2,24K
CRT-00190,CSTM-01379,PROD-E00012,2025-07-11 21:20:15,3,18K
CRT-00191,CSTM-00873,PROD-N00005,2025-07-28 13:30:15,1,18K
CRT-00192,CSTM-01562,PROD-N00003,2025-07-24 21:20:15,2,14K
CRT-00193,CSTM-00092,PROD-G00002,2025-06-28 14:20:15,3,14K
CRT-00194,CSTM-00013,PROD-E00007,2025-07-03 10:20:15,2,18K
CRT-00195,CSTM-00691,PROD-E00009,2025-07-28 13:25:15,2,14K
CRT-00196,CSTM-00921,PROD-R00003,2025-07-17 20:20:15,2,14K
CRT-00197,CSTM-01712,PROD-N00005,2025-07-16 02:20:15,2,24K
CRT-00198,CSTM-01152,PROD-N00009,2025-07-20 18:20:15,2,18K
CRT-00199,CSTM-01719,PROD-E00003,2025-07-28 13:48:15,1,14K
CRT-00200,CSTM-01324,PROD-E00008,2025-07-08 10:20:15,1,14K
CRT-00201,CSTM-00150,PROD-E00004,2025-07-28 13:23:15,1,14K
CRT-00202,CSTM-01333,PROD-E00011,2025-07-21 14:20:15,3,24K
CRT-00203,CSTM-00525,PROD-R00005,2025-07-28 14:03:15,2,18K
CRT-00204,CSTM-00981,PROD-R00007,2025-07-05 09:20:15,2,14K
CRT-00205,CSTM-01785,PROD-R00008,2025-07-22 23:20:15,1,14K
CRT-00206,CSTM-01601,PROD-E00012,2025-07-06 13:20:15,2,24K
CRT-00207,CSTM-00318,PROD-R00002,2025-07-20 17:20:15,2,18K
CRT-00208,CSTM-00527,PROD-R00007,2025-07-28 14:13:15,2,18K
CRT-00209,CSTM-01657,PROD-R00002,2025-07-25 12:20:15,2,24K
CRT-00210,CSTM-00048,PROD-R00001,2025-07-23 04:20:15,1,14K
CRT-00211,CSTM-01623,PROD-S00003,2025-07-09 05:20:15,3,14K
CRT-00212,CSTM-00684,PROD-N00008,2025-07-12 11:20:15,3,14K
CRT-00213,CSTM-00520,PROD-R00002,2025-07-08 20:20:15,1,18K
CRT-00214,CSTM-01220,PROD-S00004,2025-07-27 08:20:15,3,24K
CRT-00215,CSTM-01839,PROD-E00004,2025-07-12 14:20:15,3,14K
CRT-00216,CSTM-01762,PROD-N00004,2025-07-16 05:20:15,3,18K
CRT-00217,CSTM-00748,PROD-N00008,2025-07-12 08:20:15,2,24K
CRT-00218,CSTM-00173,PROD-R00006,2025-07-14 14:20:15,1,14K
CRT-00219,CSTM-00162,PROD-E00003,2025-07-01 03:20:15,2,18K
CRT-00220,CSTM-00408,PROD-G00004,2025-07-04 22:20:15,3,18K
CRT-00221,CSTM-01808,PROD-N00012,2025-07-02 19:20:15,1,24K
CRT-00222,CSTM-01683,PROD-R00008,2025-07-24 03:20:15,2,14K
CRT-00223,CSTM-00403,PROD-N00005,2025-07-21 06:20:15,3,18K
CRT-00224,CSTM-00866,PROD-R00009,2025-07-10 02:20:15,1,18K
CRT-00225,CSTM-00591,PROD-S00006,2025-07-12 12:20:15,1,24K
CRT-00226,CSTM-01837,PROD-G00001,2025-07-12 00:20:15,2,18K
CRT-00227,CSTM-01095,PROD-N00001,2025-07-28 13:54:15,1,18K
CRT-00228,CSTM-01109,PROD-E00002,2025-07-08 00:20:15,2,14K
CRT-00229,CSTM-01218,PROD-N00005,2025-07-19 00:20:15,2,18K
CRT-00230,CSTM-01827,PROD-N00012,2025-07-24 15:20:15,2,24K
CRT-00231,CSTM-00526,PROD-G00001,2025-07-27 13:20:15,2,14K
CRT-00232,CSTM-00388,PROD-S00002,2025-07-20 08:20:15,1,14K
CRT-00233,CSTM-00289,PROD-N00009,2025-07-12 03:20:15,3,24K
CRT-00234,CSTM-00303,PROD-G00001,2025-06-30 07:20:15,3,24K
CRT-00235,CSTM-00062,PROD-G00002,2025-07-05 20:20:15,2,24K
CRT-00236,CSTM-00218,PROD-G00005,2025-07-28 13:37:15,3,24K
CRT-00237,CSTM-01140,PROD-R00004,2025-07-16 13:20:15,1,24K
CRT-00238,CSTM-01331,PROD-G00003,2025-07-08 18:20:15,1,14K
CRT-00239,CSTM-00976,PROD-E00008,2025-07-28 13:46:15,1,18K
CRT-00240,CSTM-00961,PROD-S00006,2025-07-28 13:50:15,1,14K
CRT-00241,CSTM-00282,PROD-R00001,2025-06-30 11:20:15,1,14K
CRT-00242,CSTM-00846,PROD-E00002,2025-07-01 00:20:15,2,14K
CRT-00243,CSTM-01668,PROD-N00007,2025-07-20 07:20:15,1,18K
CRT-00244,CSTM-00527,PROD-R00006,2025-07-28 13:56:15,3,14K
CRT-00245,CSTM-01212,PROD-E00006,2025-07-19 12:20:15,2,24K
CRT-00246,CSTM-00055,PROD-N00004,2025-07-01 02:20:15,3,18K
CRT-00247,CSTM-01797,PROD-S00001,2025-07-24 11:20:15,3,18K
CRT-00248,CSTM-01390,PROD-R00001,2025-07-28 13:32:15,3,14K
CRT-00249,CSTM-00027,PROD-N00005,2025-07-01 01:20:15,2,18K
CRT-00250,CSTM-01341,PROD-N00007,2025-07-01 00:20:15,3,14K
CRT-00251,CSTM-00599,PROD-N00007,2025-07-03 20:20:15,1,24K
CRT-00252,CSTM-00894,PROD-N00006,2025-07-15 18:20:15,3,18K
CRT-00253,CSTM-01300,PROD-N00011,2025-07-05 11:20:15,2,14K
CRT-00254,CSTM-00938,PROD-N00011,2025-07-16 18:20:15,3,24K
CRT-00255,CSTM-00174,PROD-N00010,2025-07-28 04:20:15,1,24K
CRT-00256,CSTM-00526,PROD-R00006,2025-07-05 13:20:15,1,24K
CRT-00257,CSTM-00758,PROD-N00003,2025-07-21 17:20:15,1,14K
CRT-00258,CSTM-00384,PROD-S00008,2025-07-07 17:20:15,1,14K
CRT-00259,CSTM-00364,PROD-N00007,2025-07-26 09:20:15,3,14K
CRT-00260,CSTM-00482,PROD-N00012,2025-07-14 00:20:15,3,14K
CRT-00261,CSTM-01135,PROD-R00007,2025-07-28 13:52:15,1,14K
CRT-00262,CSTM-00487,PROD-N00009,2025-07-28 14:12:15,2,14K
CRT-00263,CSTM-01193,PROD-N00006,2025-07-04 20:20:15,2,14K
CRT-00264,CSTM-00661,PROD-N00007,2025-07-28 13:56:15,2,18K
CRT-00265,CSTM-00692,PROD-N00001,2025-07-03 00:20:15,1,24K
CRT-00266,CSTM-01118,PROD-N00005,2025-07-28 13:40:15,2,14K
CRT-00267,CSTM-00896,PROD-S00006,2025-07-09 02:20:15,1,14K
CRT-00268,CSTM-00715,PROD-E00008,2025-07-12 05:20:15,1,14K
CRT-00269,CSTM-01707,PROD-E00007,2025-07-28 13:56:15,1,18K
CRT-00270,CSTM-00219,PROD-N00008,2025-07-23 09:20:15,2,14K
CRT-00271,CSTM-01434,PROD-N00005,2025-07-28 13:28:15,1,18K
CRT-00272,CSTM-01755,PROD-S00008,2025-07-28 13:21:15,1,24K
CRT-00273,CSTM-01555,PROD-R00006,2025-07-01 01:20:15,3,24K
CRT-00274,CSTM-00410,PROD-N00001,2025-07-01 22:20:15,2,24K
CRT-00275,CSTM-00675,PROD-N00002,2025-06-30 04:20:15,2,24K
CRT-00276,CSTM-01812,PROD-N00010,2025-07-28 14:02:15,3,24K
CRT-00277,CSTM-00155,PROD-N00002,2025-07-28 13:29:15,3,18K
CRT-00278,CSTM-00008,PROD-S00004,2025-07-28 13:36:15,1,18K
CRT-00279,CSTM-00983,PROD-S00002,2025-07-13 22:20:15,2,14K
CRT-00280,CSTM-01871,PROD-N00005,2025-07-19 14:20:15,3,18K
CRT-00281,CSTM-00526,PROD-G00001,2025-07-27 04:20:15,2,24K
CRT-00282,CSTM-01359,PROD-R00008,2025-07-21 04:20:15,1,24K
CRT-00283,CSTM-00726,PROD-N00005,2025-07-18 03:20:15,2,18K
CRT-00284,CSTM-00567,PROD-E00007,2025-07-28 13:33:15,2,14K
CRT-00285,CSTM-01382,PROD-E00004,2025-07-28 14:08:15,1,24K
CRT-00286,CSTM-00598,PROD-N00006,2025-07-08 14:20:15,2,18K
CRT-00287,CSTM-00351,PROD-S00005,2025-07-06 15:20:15,1,14K
CRT-00288,CSTM-00507,PROD-S00006,2025-07-11 03:20:15,3,14K
CRT-00289,CSTM-01096,PROD-N00010,2025-07-10 21:20:15,3,24K
CRT-00290,CSTM-01191,PROD-E00004,2025-07-11 01:20:15,1,18K
CRT-00291,CSTM-01041,PROD-S00003,2025-06-29 08:20:15,3,18K
CRT-00292,CSTM-01782,PROD-G00003,2025-07-06 07:20:15,3,24K
CRT-00293,CSTM-00363,PROD-G00001,2025-07-28 13:40:15,1,24K
CRT-00294,CSTM-01712,PROD-R00008,2025-07-14 08:20:15,3,24K
CRT-00295,CSTM-01424,PROD-N00003,2025-07-02 15:20:15,2,14K
CRT-00296,CSTM-00539,PROD-E00011,2025-07-28 13:29:15,3,24K
CRT-00297,CSTM-01543,PROD-E00007,2025-07-06 02:20:15,1,18K
CRT-00298,CSTM-01192,PROD-R00001,2025-07-22 14:20:15,3,18K
CRT-00299,CSTM-01628,PROD-R00005,2025-07-23 03:20:15,1,18K
CRT-00300,CSTM-01403,PROD-E00006,2025-07-06 07:20:15,1,14K
CRT-00301,CSTM-00442,PROD-E00001,2025-07-28 13:26:15,1,18K
CRT-00302,CSTM-01296,PROD-N00005,2025-07-05 10:20:15,2,14K
CRT-00303,CSTM-01123,PROD-N00009,2025-07-09 06:20:15,1,24K
CRT-00304,CSTM-01354,PROD-G00005,2025-07-28 14:09:15,3,14K
CRT-00305,CSTM-00384,PROD-N00004,2025-07-25 16:20:15,3,24K
CRT-00306,CSTM-00696,PROD-S00001,2025-07-08 19:20:15,1,24K
CRT-00307,CSTM-00269,PROD-N00005,2025-07-21 03:20:15,2,24K
CRT-00308,CSTM-00586,PROD-G00002,2025-07-17 17:20:15,3,18K
CRT-00309,CSTM-00449,PROD-E00011,2025-07-08 03:20:15,3,24K
CRT-00310,CSTM-00697,PROD-E00002,2025-06-28 20:20:15,1,24K
CRT-00311,CSTM-00927,PROD-E00010,2025-06-29 03:20:15,1,24K
CRT-00312,CSTM-00503,PROD-R00005,2025-07-16 16:20:15,3,24K
CRT-00313,CSTM-01060,PROD-N00012,2025-07-28 14:16:15,1,14K
CRT-00314,CSTM-00099,PROD-N00003,2025-06-29 04:20:15,3,18K
CRT-00315,CSTM-00805,PROD-S00008,2025-07-28 13:33:15,1,18K
CRT-00316,CSTM-00823,PROD-E00012,2025-07-08 22:20:15,2,24K
CRT-00317,CSTM-00648,PROD-R00006,2025-07-24 14:20:15,1,18K
CRT-00318,CSTM-01221,PROD-N00002,2025-07-07 08:20:15,2,18K
CRT-00319,CSTM-01629,PROD-N00001,2025-07-10 05:20:15,3,14K
CRT-00320,CSTM-00807,PROD-R00003,2025-07-22 13:20:15,1,18K
CRT-00321,CSTM-00023,PROD-R00007,2025-07-17 18:20:15,1,18K
CRT-00322,CSTM-00483,PROD-S00005,2025-07-03 11:20:15,3,24K
CRT-00323,CSTM-00452,PROD-S00003,2025-07-28 14:19:15,2,14K
CRT-00324,CSTM-00048,PROD-R00010,2025-07-06 08:20:15,3,14K
CRT-00325,CSTM-00906,PROD-N00006,2025-06-28 23:20:15,3,14K
CRT-00326,CSTM-00033,PROD-S00004,2025-07-08 12:20:15,2,18K
CRT-00327,CSTM-01298,PROD-S00003,2025-07-21 16:20:15,1,14K
CRT-00328,CSTM-01260,PROD-N00005,2025-07-28 13:26:15,1,24K
CRT-00329,CSTM-01014,PROD-S00002,2025-07-08 08:20:15,1,24K
CRT-00330,CSTM-00965,PROD-N00008,2025-06-29 07:20:15,1,18K
CRT-00331,CSTM-00369,PROD-G00001,2025-07-28 13:40:15,3,14K
CRT-00332,CSTM-00062,PROD-R00005,2025-07-04 16:20:15,2,18K
CRT-00333,CSTM-01666,PROD-E00004,2025-07-27 03:20:15,3,24K
CRT-00334,CSTM-01424,PROD-S00008,2025-07-28 14:14:15,2,18K
CRT-00335,CSTM-01510,PROD-S00006,2025-07-09 11:20:15,2,14K
CRT-00336,CSTM-00135,PROD-G00005,2025-07-21 23:20:15,2,24K
CRT-00337,CSTM-01212,PROD-R00005,2025-07-06 10:20:15,3,18K
CRT-00338,CSTM-00036,PROD-S00005,2025-07-14 13:20:15,2,24K
